m, n, k, edeges, avg-degree, clustering_coeff, diameter, avg-pathlength
16,250,2,2394,9.576,0.3707437813282013,6.0,2.904100024002269
16,250,2,2401,9.604,0.36023783683776855,7.0,2.9439936798052697
16,250,2,2450,9.8,0.3855650722980499,7.0,2.868619132338853
32,250,2,2474,9.896,0.37917035818099976,6.0,2.87435847881638
32,250,2,2441,9.764,0.36577948927879333,6.0,2.9030432461292044
32,250,2,2454,9.816,0.3873228132724762,6.0,2.8366596053071693
64,250,2,1780,7.12,0.3774321377277374,6.0,3.2985088966603895
64,250,2,1824,7.296,0.37076085805892944,7.0,3.2780407832446072
64,250,2,1791,7.164,0.37507355213165283,9.0,3.2809096607380708
16,500,2,5032,10.064,0.3696090281009674,7.0,3.196116358666381
16,500,2,5011,10.022,0.3657950162887573,7.0,3.2591193560173015
16,500,2,4946,9.892,0.34426507353782654,8.0,3.287082983878483
32,500,2,4899,9.798,0.35765135288238525,7.0,3.2624135335226163
32,500,2,4898,9.796,0.37488242983818054,7.0,3.284973975627338
32,500,2,5178,10.356,0.3682374358177185,8.0,3.2137877274074724
64,500,2,3703,7.406,0.3705352544784546,9.0,3.551385469310181
64,500,2,3644,7.288,0.3918682336807251,8.0,3.602125608766234
64,500,2,3784,7.568,0.3616713285446167,7.0,3.56416144512467
16,1000,2,10464,10.464,0.31711307168006897,8.0,3.515542913624315
16,1000,2,10264,10.264,0.35715651512145996,8.0,3.6033670222633787
16,1000,2,10138,10.138,0.31880107522010803,8.0,3.583465388446607
32,1000,2,10194,10.194,0.35729795694351196,8.0,3.565709327799286
32,1000,2,10206,10.206,0.3572412133216858,7.0,3.544165278474982
32,1000,2,10195,10.195,0.3767542243003845,8.0,3.61485949284603
64,1000,2,7495,7.495,0.37374159693717957,9.0,3.918085226868667
64,1000,2,7414,7.414,0.3792749047279358,8.0,3.985535247148939
64,1000,2,7372,7.372,0.391469269990921,9.0,3.8699696104613683
16,2000,2,20500,10.25,0.3416380286216736,10.0,3.841854680874198
16,2000,2,20389,10.1945,0.29425761103630066,10.0,3.8943455621902645
16,2000,2,20501,10.2505,0.30082178115844727,9.0,3.8828409954151426
32,2000,2,20220,10.11,0.34709101915359497,9.0,3.929564403345537
32,2000,2,20634,10.317,0.3495718836784363,10.0,3.8101571316722618
32,2000,2,20518,10.259,0.33425772190093994,8.0,3.8881809860549903
64,2000,2,14974,7.487,0.37076976895332336,9.0,4.216851565440608
64,2000,2,14904,7.452,0.3656303882598877,10.0,4.267843492439839
64,2000,2,15149,7.5745,0.37222209572792053,10.0,4.221000894626086
16,3000,2,30909,10.303,0.2950838506221771,9.0,4.046503522522746
16,3000,2,31105,10.368333333333334,0.28497549891471863,10.0,4.019274491554087
16,3000,2,31124,10.374666666666666,0.31581664085388184,9.0,3.9849390537499287
32,3000,2,31034,10.344666666666667,0.34604349732398987,9.0,4.024850041974432
32,3000,2,30463,10.154333333333334,0.34739744663238525,9.0,4.0455994723172894
32,3000,2,30548,10.182666666666666,0.34563353657722473,10.0,4.094081596883745
64,3000,2,22595,7.531666666666666,0.3767559826374054,9.0,4.4274724314083524
64,3000,2,22017,7.339,0.37109360098838806,11.0,4.495219619847655
64,3000,2,22370,7.456666666666667,0.36966028809547424,10.0,4.528473188735365
16,250,8,9449,37.796,0.4697604179382324,5.0,2.1147109446188113
16,250,8,8938,35.752,0.4750523567199707,4.0,2.219477911646586
16,250,8,9195,36.78,0.4872245788574219,5.0,2.151023848480341
32,250,8,9502,38.008,0.4653424024581909,4.0,2.099902697921274
32,250,8,9551,38.204,0.46011194586753845,5.0,2.130359736819619
32,250,8,9279,37.116,0.46487313508987427,4.0,2.1368296934276634
64,250,8,6420,25.68,0.4880088269710541,4.0,2.2958996479746143
64,250,8,6334,25.336,0.5116384625434875,4.0,2.3442224181277957
64,250,8,6609,26.436,0.47902873158454895,4.0,2.3029212284823943
16,500,8,20302,40.604,0.3933350145816803,5.0,2.361357506139374
16,500,8,19680,39.36,0.4601409137248993,6.0,2.498694369740609
16,500,8,19742,39.484,0.4242385923862457,5.0,2.4217074347616294
32,500,8,19849,39.698,0.4516185522079468,5.0,2.4496945352556305
32,500,8,19745,39.49,0.4414137005805969,5.0,2.3727716261130762
32,500,8,19938,39.876,0.4409593641757965,5.0,2.416776409962783
64,500,8,13667,27.334,0.46881312131881714,5.0,2.5748580494321978
